"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA5",9.45590921237443,-0.474779902700653,0.322270057902456,-1.47323616035207,0.140687367832272,0.319185759486066
"ABCA6",1.00461208478496,-3.4714579128001,1.0473493704717,-3.31451759142857,0.00091801403329759,0.00637647585290489
"ABCA7",9.84518398682828,0.439296097509022,0.306021705409791,1.43550633743696,0.151142863717861,0.333953297671783
"ABCB10",35.0995034099585,0.730821303116244,0.162030584391635,4.51039108363529,6.47082186464938e-06,8.71864716869943e-05
"ABCB4",0.0644362932764093,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"ABCB6",6.89923166675065,0.259539541496504,0.374940577846724,0.692215131760434,0.488802237415054,0.691568707395873
"ABCB7",27.1688775822992,0.10324179917666,0.203576111566852,0.507141031342257,0.612055866999828,0.784170887933581
"ABCB8",17.0323940578932,0.431740655398893,0.219464261152875,1.9672481210877,0.0491546127703376,0.150817574659121
"ABCB9",7.07418770478194,0.105390752902137,0.345935403843017,0.304654428923277,0.760629360997897,0.881490733112176
"ABCC1",64.1429899699485,0.215022970393499,0.116647433536336,1.84335791945666,0.0652767697621769,0.18537160031911
"ABCC10",23.5305108639123,-0.150099165338115,0.196880886305056,-0.76238566452583,0.445829859613413,0.656470853871905
"ABCC11",0.061084527084684,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"ABCC2",1.40390419518041,-0.411917132190676,0.794267007014511,-0.518612920532843,0.604030697143285,0.780152444388507
"ABCC3",20.2884385912838,1.13653165494986,0.267365641708609,4.25085155926102,2.12959279527834e-05,0.000247732513100359
"ABCC4",36.4594555450173,0.190500820172162,0.148777275154474,1.28044299759064,0.200389380101915,0.402344302235877
"ABCC5",32.1671468446659,-0.224442736100564,0.185004922929665,-1.21317169590072,0.22506418316232,0.433105726745046
"ABCC6",0.495309325943879,-1.32301039579689,1.29357175538022,-1.02275764007232,0.306422450883966,0.524744666012794
"ABCC6P1",0.0662959288836538,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"ABCC6P2",0.488349693524818,-0.0216489536755281,1.49087873830472,-0.0145209352842104,0.988414377082441,0.996525365674296
"ABCC9",0.550949388055633,-2.08545626319156,1.24196871959955,-1.67915361335668,0.0931221096694817,0.239766356335349
"ABCD1",12.6834844546254,0.109714633678245,0.287820575319878,0.381191072098685,0.703061473355039,0.844111698868521
"ABCD3",75.009152280693,0.723654399045097,0.115919403065389,6.24273745299476,4.29978305902761e-10,1.40405621866318e-08
"ABCD4",32.0389560883908,-0.052144252535726,0.165489189373637,-0.315091594400141,0.752692110406838,0.875449305080966
"ABCE1",221.060914654308,0.403530402582382,0.0785810419634191,5.13521318246496,2.81824380098631e-07,5.22882185428984e-06
"ABCF1",14.1430668841509,-0.278608971137508,0.660054425875831,-0.422099996932555,0.672952030177835,0.824801578628278
"ABCF2",19.2011887397871,0.0405205827476313,0.22149767377702,0.182939089411942,0.854845811500485,0.92568275374561
"ABCF2-H2BE1",0.12120867745798,0.702810078465683,2.62530559071838,0.267706007616953,0.788925625145596,NA
"ABCF3",44.859863243402,-0.0272815157414084,0.139960753217277,-0.194922613048932,0.845453531078195,0.921244308797371
"ABCG1",1.31446891444552,1.30190330910719,0.881055129488407,1.47766384364978,0.139497776601947,0.317368876013412
"ABCG2",9.80928499036604,-0.814010923610164,0.351104983149834,-2.31842600554258,0.0204261800735993,0.0781998695341822
"ABCG4",0.432817414408115,-0.382289780016525,1.37399113503614,-0.278233076086381,0.780833445835559,0.893695642176443
"ABHD10",34.3516960972984,0.269039472626894,0.156499870313387,1.71910348608053,0.0855955301536875,0.225835507124121
"ABHD11",9.082979655785,0.432580012179305,0.312860522640469,1.38266090118507,0.166768865817587,0.356393335358249
"ABHD11-AS1",0.124172089943629,-0.018531116785195,2.60474056459816,-0.00711438100095542,0.99432359312438,NA
"ABHD12",49.4948579549086,0.402090121362673,0.138604326604587,2.90099256792872,0.00371982700755676,0.0200480618294651
"ABHD13",20.5785911109577,-0.90147653158674,0.203500269730908,-4.42985423448716,9.42968033108517e-06,0.000121171392254444
"ABHD14A",2.72627084235727,-0.156089580497496,0.527331127865525,-0.295999178219004,0.767230708978423,0.885557450003758
"ABHD14B",25.9247435861593,0.272897205338243,0.184755397037596,1.47707298251597,0.139656074861497,0.317676939342378
"ABHD15",12.2527700254566,1.04710129762845,0.291459402296151,3.59261457815142,0.000327376629324012,0.00264917368032574
"ABHD16A",2.52986336725507,0.0573610626815365,0.634881982907882,0.0903491739028594,0.928009744779126,0.967975891623052
"ABHD17A",19.2488510286355,0.835115638924482,0.236434955923795,3.53211578068704,0.000412248816754269,0.00323413741035373
"ABHD17AP6",0.124172089943629,-0.018531116785195,2.60474056459816,-0.00711438100095542,0.99432359312438,NA
"ABHD17B",20.8680099831377,-0.206792178628194,0.194481783334854,-1.06329844925447,0.287646628213568,0.505486385686346
"ABHD17C",31.6314546485949,0.373686971550562,0.17693542584625,2.11199633856976,0.0346867633456721,0.117067826291643
"ABHD18",10.281673204139,0.34537616593125,0.295266207879583,1.16971111733891,0.242117242696515,0.453761390161005
"ABHD2",81.1776807027811,0.152813300662974,0.107811224637622,1.41741549803013,0.156361484156228,0.341407280855906
"ABHD3",15.7640760350752,-0.336574515721472,0.238949865632192,-1.40855704116424,0.158966189058326,0.345097985806522
"ABHD4",21.6007567322199,0.703469964256063,0.223929254922272,3.14148307464447,0.00168094524083144,0.010493998224138
"ABHD5",61.2572654293975,-0.0296137197811703,0.13401986224365,-0.220965156100012,0.825119563790958,0.911486850775365
"ABHD6",11.0186107607542,-0.0717366138629753,0.279920449334259,-0.256275002535856,0.797738497954018,0.902209671143823
"ABHD8",14.7852774152658,-0.77306363604767,0.268093234150497,-2.88356264751427,0.00393204426925342,0.0209397200186872
"ABI1",66.9495979898801,-0.207109118718588,0.132485856901633,-1.56325455080357,0.117992733796042,0.283943672554442
"ABI2",68.0918882337698,0.298612345199129,0.112148637725045,2.66264799338212,0.00775284691274756,0.0361053723003727
"ABI3BP",2.14954504595829,-0.092476473316518,0.696145483064744,-0.132840728793348,0.894319342866642,0.947143150206293
"ABITRAM",15.3001169271605,-0.840564343638235,0.264229756359494,-3.18118729404048,0.00146672771694726,0.00939762107839063
"ABL1",125.846718071211,-0.26988950831893,0.0868859438313171,-3.10625052129147,0.00189476115858298,0.0115280558346403
"ABL2",167.8096677606,-0.667834448736297,0.113629466474456,-5.87729987174082,4.17012391691546e-09,1.12593345756718e-07
"ABLIM1",87.2339233309359,0.372693278355184,0.106630347284466,3.49518957638694,0.00047372514960959,0.00364028661477403
"ABLIM2",2.23752040197908,-0.349454685053023,0.639097788056875,-0.546793763933234,0.584520427852921,0.76587695666875
"ABLIM3",49.3579113274099,-0.493406659653933,0.136017220390927,-3.62753082466936,0.000286144622282983,0.00236375896907336
"ABR",111.214331741932,-0.132206822968067,0.0891094014670959,-1.48364617864575,0.137902811663821,0.314827728284555
"ABRACL",16.2236129747582,-0.985673574738733,0.283092024001477,-3.48181330157712,0.000498030795202536,0.00379345300539012
"ABRAXAS1",28.3462242945341,-0.246305468951576,0.166888540727737,-1.47586807265215,0.13997931197474,0.318255716183722
"ABRAXAS2",30.9623468024454,0.0382465005526767,0.165216730172926,0.231492903367871,0.816931898022484,0.908910997820119
"ABT1",33.7277904305853,0.375209648999689,0.178858332169201,2.09780357699377,0.0359225004165838,0.120331272213698
"ABTB1",8.57473496819366,-0.697553645233011,0.314568512780618,-2.21749354080931,0.0265893839551488,0.095859647316996
"ABTB2",27.019476768981,-0.778455331810659,0.196099925960024,-3.96968702563076,7.19670993688347e-05,0.000721125924217103
"ACAA1",21.495724915447,0.523879626989274,0.234421225970547,2.23477897455879,0.0254318628500341,0.0927577904422532
"ACAA2",40.6643494261313,-0.241470832993823,0.186665855841919,-1.29359936719395,0.19580384116943,0.39663782042758
"ACACA",72.7927853005993,0.497608105882288,0.119051304352194,4.17977869784774,2.91792915904318e-05,0.000328693351211049
"ACACB",8.19481487360687,-0.389728263707148,0.31787594310777,-1.22603887509354,0.22018404610821,0.427312850215318
"ACAD10",10.7720494296452,-0.503954352890737,0.273403828148617,-1.84326004614975,0.0652910515979035,0.18537422546557
"ACAD8",30.8203364293474,-0.354600323479233,0.176101084171783,-2.01361806003038,0.0440496488259289,0.139571010595032
"ACAD9",30.6137072159966,-0.192854802773405,0.168047221265864,-1.14762268200968,0.251124362023156,0.463926472103091
"ACADL",0.430821173894745,-1.68238473400229,1.39262014808522,-1.20807151635389,0.227019754822022,0.435163005168511
"ACADM",42.9725254025703,-0.241021847166023,0.138645708685365,-1.73840106160793,0.0821401697761533,0.219109481985003
"ACADS",3.38151436506572,-0.061472837915719,0.561571437609671,-0.109465748787684,0.91283308698654,0.958847833878232
